,company
2113,23324
2114,11486158
2115,19047530
2116,2649064
2117,18188846
2118,2649064
2119,2649064
2120,4990999
2121,1523089
2122,166704
2123,4160
2124,1957052
2125,1322438
2126,5035946
2127,10088473
2128,2439847
2129,2439847
2130,4815
2131,5229519
2132,1503
2133,16235019
2134,13128
2135,13128
2136,11072067
2137,649176
2138,1069814
2139,13725051
2140,3867599
2141,57780
2142,2527511
2143,214442
2144,2449847
2145,6470387
2146,18062937
2147,18062937
2148,18062937
2149,166698
2150,1074869
2151,9443030
2152,5336846
2153,570870
2154,1139538
2155,164462
2156,1929421
2157,1929421
2158,98788
2159,10984
2160,994635
2161,623229
2162,623229
2163,1211032
2164,1069814
2165,41442
2166,40494
2167,285447
2168,2216093
2169,1705237
2170,5343852
2171,5343852
2172,3341
2173,3341
2174,47560
2175,14840672
2176,18196973
2177,18196973
2178,18196973
2179,18892058
2180,994635
2181,23090519
2182,233636
2183,1962817
2184,8988
2185,834590
2186,60972
2187,60972
2188,11550894
2189,11516112
2190,11516112
2191,10806192
2192,11259345
2193,4815
2194,7159429
2195,11741
2196,6107120
2197,60697
2198,9280353
2199,4815
2200,4815
2201,207470
2202,166626
2203,11550894
2204,2515234
2205,4815
2206,1280872
2207,33295408
2208,335332
2209,166626
2210,3497329
2211,18196973
2212,597717
2213,4815
2214,4838118
2215,1594050
2216,96622
2217,1594050
2218,96622
2219,10371403
2220,5050421
2221,3532863
2222,5077
2223,19297
2224,17908204
2225,909530
2226,18196973
2227,7000960
2228,18388245
2229,2340783
2230,18209852
2231,18196973
2232,994635
2233,4815
2234,5046700
2235,1523089
2236,1523089
2237,1523089
2238,18825
2239,411498
2240,2954403
2241,1642745
2242,1120810
2243,1120810
2244,11935
2245,72363300
2246,12980891
2247,314350
2248,13981537
2249,4838118
2250,4815
2251,4815
2252,4815
2253,4815
2254,2773281
2255,4815
2256,2773281
2257,164365
2258,97190
2259,884384
2260,884384
2261,13457567
2262,4815
2263,878481
2264,11808422
2265,343785
2266,68702725
2267,17448
2268,3443
2269,111120
2270,2470193
2271,27187735
2272,39411
2273,545733
2274,545733
2275,545733
2276,4815
2277,70963561
2278,166637
2279,166637
2280,166637
2281,32164
